1100,MAINLAND HEADWEAR HLDGS LTD,1100,HKD
1101,CHINA HUARONG ENERGY CO LTD,1101,HKD
1102,ENVIRO ENERGY INTERNATIONAL,1102,HKD
1103,SHANGHAI DASHENG AGRICULTU-H,1103,HKD
1104,APAC RESOURCES LTD,1104,HKD
1105,SING TAO NEWS CORP LTD,1105,HKD
1106,MING LAM HOLDINGS LTD,1106,HKD
1107,MODERN LAND CHINA CO LTD,1107,HKD
1108,LUOYANG GLASS COMPANY LTD-H,1108,HKD
1109,CHINA RESOURCES LAND LTD,1109,HKD
111,CINDA INTERNATIONAL HOLDINGS,111,HKD
1110,KINGWORLD MEDICINES GROUP,1110,HKD
1111,CHONG HING BANK LTD,1111,HKD
1112,HEALTH AND HAPPINESS H&amp;H INT,1112,HKD
1113,CK ASSET HOLDINGS LTD,1113,HKD
1114,BRILLIANCE CHINA AUTOMOTIVE,1114,HKD
1115,TIBET WATER RESOURCES LTD,1115,HKD
1116,MAYER HOLDINGS LIMITED,1116,HKD
1117,CHINA MODERN DAIRY HOLDINGS,1117,HKD
1118,GOLIK HOLDINGS LTD,1118,HKD
1119,IDREAMSKY TECHNOLOGY HOLDING,1119,HKD
112,LERTHAI GROUP LTD,112,HKD
1120,ARTS OPTICAL INTL HLDGS LTD,1120,HKD
1121,BAOFENG MODERN INTERNATIONAL,1121,HKD
1122,QINGLING MOTORS CO LTD-H,1122,HKD
1123,CHINA HONG KONG PHOTO PRODUC,1123,HKD
1124,COASTAL GREENLAND LTD,1124,HKD
1125,LAI FUNG HOLDINGS LTD,1125,HKD
1126,DREAM INTERNATIONAL LTD,1126,HKD
1127,LION ROCK GROUP LTD,1127,HKD
1128,WYNN MACAU LTD,1128,HKD
1129,CHINA WATER INDUSTRY GROUP L,1129,HKD
113,DICKSON CONCEPTS INTL LTD,113,HKD
1130,CHINA ENVIRONMENTAL RESOURCE,1130,HKD
1131,AGRITRADE RESOURCES LTD,1131,HKD
1132,ORANGE SKY GOLDEN HARVEST EN,1132,HKD
1133,HARBIN ELECTRIC CO LTD-H,1133,HKD
1134,KELFRED HOLDINGS LIMITED,1134,HKD
1137,HONG KONG TELEVISION NETWORK,1137,HKD
1138,COSCO SHIPPING ENERGY TRAN-H,1138,HKD
1139,VICTORY GROUP LTD,1139,HKD
114,HERALD HOLDINGS LTD,114,HKD
1140,OP FINANCIAL LTD,1140,HKD
1141,CMBC CAPITAL HOLDINGS LTD,1141,HKD
1142,SIBERIAN MINING GROUP CO LTD,1142,HKD
1143,CHINA HEALTHCARE ENTERPRISE,1143,HKD
1145,COURAGE INVESTMENT GROUP LTD,1145,HKD
1146,CHINA OUTFITTERS HOLDNGS LTD,1146,HKD
1148,XINCHEN CHINA POWER HOLDINGS,1148,HKD
115,GRAND FIELD GROUP HOLDINGS,115,HKD
1150,MILAN STATION HLDGS LTD,1150,HKD
1151,ELEC &amp; ELTEK INT CO LTD,1151,HKD
1152,MOMENTUM FINANCIAL HOLDINGS LT,1152,HKD
1155,CENTRON TELECOM INTERNATIONA,1155,HKD
1157,ZOOMLION HEAVY INDUSTRY - H,1157,HKD
1158,ZHEJIANG NEW CENTURY HOTEL-H,1158,HKD
1159,STARLIGHT CULTURE ENTERTAINM,1159,HKD
116,CHOW SANG SANG HLDG,116,HKD
1160,YOUTH CHAMP FINANCIAL GROUP,1160,HKD
1161,WATER OASIS GROUP LTD,1161,HKD
1164,CGN MINING CO LTD,1164,HKD
1165,SHUNFENG INTERNATIONAL CLEAN,1165,HKD
1166,SOLARTECH INTL HLDG LTD,1166,HKD
1168,SINOLINK WORLDWIDE HOLDINGS,1168,HKD
1169,HAIER ELECTRONICS GROUP CO,1169,HKD
117,TIANLI HOLDINGS GROUP LTD,117,HKD
1170,KINGMAKER FOOTWEAR HLDGS LTD,1170,HKD
1171,YANZHOU COAL MINING CO-H,1171,HKD
1172,MAGNUS CONCORDIA GROUP LTD,1172,HKD
1173,VEEKO INTERNATIONAL HLDGS,1173,HKD
1175,FRESH EXPRESS DELIVERY HOLDI,1175,HKD
1176,ZHUGUANG HOLDINGS GROUP CO,1176,HKD
1177,SINO BIOPHARMACEUTICAL,1177,HKD
1178,HUIYIN HOLDINGS GROUP LTD,1178,HKD
118,COSMOS MACHINERY,118,HKD
1180,PARADISE ENTERTAINMENT LTD,1180,HKD
1181,TANG PALACE CHINA HOLDINGS,1181,HKD
1182,SUCCESS DRAGON INTERNATIONAL,1182,HKD
1183,MECOM POWER AND CONSTRUCTION,1183,HKD
1184,SAS DRAGON HOLDINGS LTD,1184,HKD
1185,CHINA ENERGINE INTERNATIONAL,1185,HKD
1186,CHINA RAILWAY CONSTRUCTION-H,1186,HKD
1188,HYBRID KINETIC GROUP LTD,1188,HKD
1189,ROSEDALE HOTEL HOLDINGS LTD,1189,HKD
119,POLY PROPERTY GROUP CO LTD,119,HKD
1190,BOLINA HOLDING CO LTD,1190,HKD
1191,CHINA GEM HOLDINGS LTD,1191,HKD
1192,TITAN PETROCHEMICALS GROUP L,1192,HKD
1193,CHINA RESOURCES GAS GROUP LT,1193,HKD
1194,BAY AREA GOLD GROUP LTD,1194,HKD
1195,KINGWELL GROUP LTD,1195,HKD
1196,REALORD GROUP HOLDINGS LTD,1196,HKD
1198,ROYALE FURNITURE HOLDINGS,1198,HKD
1199,COSCO SHIPPING PORTS LTD,1199,HKD
12,HENDERSON LAND DEVELOPMENT,12,HKD
120,COSMOPOLITAN INTL HLDGS,120,HKD
1200,MIDLAND HOLDINGS LTD,1200,HKD
1201,TESSON HOLDINGS LTD,1201,HKD
1202,CHENGDU PUTIAN TELECOM CAB-H,1202,HKD
1203,GUANGNAN HOLDINGS,1203,HKD
1205,CITIC RESOURCES HOLDINGS LTD,1205,HKD
1206,TECHNOVATOR INTERNATIONAL LT,1206,HKD
1207,SRE GROUP LIMITED,1207,HKD
1208,MMG LTD,1208,HKD
1210,CHRISTINE INTERNATIONAL HOLD,1210,HKD
1211,BYD CO LTD-H,1211,HKD
1212,LIFESTYLE INTL HLDGS LTD,1212,HKD
1213,MOBICON GROUP,1213,HKD
1215,KAI YUAN HOLDINGS LTD,1215,HKD
1216,ZHONGYUAN BANK CO LTD-H,1216,HKD
1217,CHINA INNOVATION INVESTMENT,1217,HKD
1218,EASYKNIT INTERNATIONAL HLDG,1218,HKD
1219,TENWOW INTERNATIONAL HOLDING,1219,HKD
122,CROCODILE GARMENTS,122,HKD
1220,ZHIDAO INTERNATIONAL HOLDING,1220,HKD
1221,SINO HOTELS HOLDINGS LTD,1221,HKD
1222,WANG ON GROUP LTD,1222,HKD
1223,SYMPHONY HOLDINGS LTD,1223,HKD
1224,C C LAND HOLDINGS LTD,1224,HKD
1225,LERADO FINANCIAL GROUP COMPA,1225,HKD
1226,CHINA INVESTMENT &amp; FINANCE G,1226,HKD
1227,NATIONAL INVESTMENTS FUND LT,1227,HKD
1228,SUPERB SUMMIT INTERNATIONAL,1228,HKD
1229,NAN NAN RESOURCES ENTERPRISE,1229,HKD
123,YUEXIU PROPERTY CO LTD,123,HKD
1230,YASHILI INTERNATIONAL HOLDIN,1230,HKD
1231,NEWTON RESOURCES LTD,1231,HKD
1232,GOLDEN WHEEL TIANDI HOLDINGS,1232,HKD
1233,TIMES CHINA HOLDINGS LTD,1233,HKD
1234,CHINA LILANG LTD,1234,HKD
1235,TRAVEL EXPERT ASIA ENTERPRIS,1235,HKD
1236,NATIONAL AGRICULTURAL HOLDIN,1236,HKD
1237,CHINA ENVIRONMENTAL TECHNOLO,1237,HKD
1238,POWERLONG REAL ESTATE HOLDIN,1238,HKD
1239,TEAMWAY INTERNATIONAL GROUP,1239,HKD
124,GUANGDONG LAND HOLDINGS LTD,124,HKD
1240,CNQC INTERNATIONAL HOLDINGS,1240,HKD
1241,SHUANGHUA HOLDINGS LTD,1241,HKD
1243,WANG ON PROPERTIES LTD,1243,HKD
1245,NIRAKU GC HOLDINGS INC,1245,HKD
1246,BOILL HEALTHCARE HOLDINGS LT,1246,HKD
1247,MIKO INTERNATIONAL HOLDINGS,1247,HKD
1249,TONLY ELECTRONICS HOLDINGS L,1249,HKD
125,SUN HING VISION GROUP HLDGS,125,HKD
1250,BEIJING ENTERPRISES CLEAN EN,1250,HKD
1251,SPT ENERGY GROUP INC,1251,HKD
1252,CHINA TIANRUI GROUP CEMENT C,1252,HKD
1253,CHINA GREENLAND BROAD GREENS,1253,HKD
1255,S CULTURE INTERNATIONAL HOLD,1255,HKD
1257,CHINA EVERBRIGHT GREENTECH L,1257,HKD
1258,CHINA NONFERROUS MINING CORP,1258,HKD
1259,PROSPEROUS FUTURE HOLDINGS L,1259,HKD
126,CARRIANNA GROUP HOLDINGS CO,126,HKD
1260,WONDERFUL SKY FINANCIAL GROU,1260,HKD
1262,LABIXIAOXIN SNACKS GROUP LTD,1262,HKD
1263,PC PARTNER GROUP LTD,1263,HKD
1265,TIANJIN JINRAN PUBLIC UTIL-H,1265,HKD
1266,XIWANG SPECIAL STEEL CO LTD,1266,HKD
1268,CHINA MEIDONG AUTO HOLDINGS,1268,HKD
1269,CHINA FIRST CAPITAL GROUP LT,1269,HKD
127,CHINESE ESTATES HOLDINGS LTD,127,HKD
1270,LANGHAM HOSPITALITY INV -SS,1270,HKD
1271,GRAND MING GROUP HOLDINGS LT,1271,HKD
1272,DATANG ENVIRONMENT INDUSTR-H,1272,HKD
1273,HONG KONG FINANCE GROUP LTD,1273,HKD
1275,NEW CENTURY REIT,1275,HKD
1277,KINETIC MINES AND ENERGY LTD,1277,HKD
1278,CHINA NEW TOWN DEVELOPMENT,1278,HKD
128,ENM HOLDINGS LTD,128,HKD
1280,HUIYIN SMART COMMUNITY CO LT,1280,HKD
1281,LONGITECH SMART ENERGY HOLDI,1281,HKD
1282,GLORY SUN FINANCIAL GROUP LT,1282,HKD
1283,ACCEL GROUP HOLDINGS LTD,1283,HKD
1285,JIASHILI GROUP LTD,1285,HKD
1286,IMPRO PRECISION INDUSTRIES L,1286,HKD
1288,AGRICULTURAL BANK OF CHINA-H,1288,HKD
1289,WUXI SUNLIT SCIENCE AND TE-H,1289,HKD
129,ASIA STANDARD INTL.GROUP,129,HKD
1290,CHINA HUIRONG FINANCIAL HOLD,1290,HKD
1292,CHANGAN MINSHENG APLL LOGI-H,1292,HKD
1293,GRAND BAOXIN AUTO GROUP LTD,1293,HKD
1296,GUODIAN TECHNOLOGY &amp; ENVIR-H,1296,HKD
1297,SINOSOFT TECHNOLOGY GROUP LT,1297,HKD
1298,YUNNAN ENERGY INTERNATIONAL,1298,HKD
1299,AIA GROUP LTD,1299,HKD
130,MOISELLE INTERNATIONAL,130,HKD
1300,TRIGIANT GROUP LTD,1300,HKD
1301,D&amp;G TECHNOLOGY HOLDING CO LT,1301,HKD
1302,LIFETECH SCIENTIFIC CORP,1302,HKD
1303,HUILI RESOURCES GROUP LTD,1303,HKD
1305,WAI CHI HOLDINGS CO LTD,1305,HKD
1308,SITC INTERNATIONAL HOLDINGS,1308,HKD
131,CHEUK NANG HOLDINGS LTD,131,HKD
1310,HKBN LTD,1310,HKD
1312,TONGFANG KONTAFARMA HOLDINGS,1312,HKD
1313,CHINA RESOURCES CEMENT,1313,HKD
1314,TSUI WAH HOLDINGS LTD,1314,HKD
1315,VISION FAME INTERNATIONAL HO,1315,HKD
1316,NEXTEER AUTOMOTIVE GROUP LTD,1316,HKD
1317,CHINA MAPLE LEAF EDUCATIONAL,1317,HKD
1318,GREENS HOLDINGS LTD,1318,HKD
1319,OI WAH PAWNSHOP CREDIT HOLDI,1319,HKD
132,CHINA INVESTMENTS HOLDINGS,132,HKD
1321,CHINA NEW CITY COMMERCIAL DE,1321,HKD
1322,CW GROUP HOLDINGS LTD,1322,HKD
1323,NEWTREE GROUP HOLDINGS LTD,1323,HKD
1326,TRANSMIT ENTERTAINMENT LTD,1326,HKD
1327,LUXXU GROUP LTD,1327,HKD
1328,GOLDSTREAM INVESTMENT LTD,1328,HKD
1329,BEIJING CAPITAL GRAND LTD,1329,HKD
133,CHINA MERCHANTS CHINA DIRECT,133,HKD
1330,DYNAGREEN ENVIRONMENTAL PR-H,1330,HKD
1332,CHINA TOUYUN TECH GROUP LTD,1332,HKD
1333,CHINA ZHONGWANG HOLDINGS LTD,1333,HKD
1335,SHEEN TAI HOLDINGS GRP CO LT,1335,HKD
1336,NEW CHINA LIFE INSURANCE C-H,1336,HKD
1337,RAZER INC,1337,HKD
1338,BAWANG INTERNATIONAL GROUP,1338,HKD
1339,PEOPLE'S INSURANCE CO GROU-H,1339,HKD
1340,HUISHENG INTERNATIONAL HOLDI,1340,HKD
1341,HAO TIAN INTERNATIONAL CONST,1341,HKD
1345,CHINA PIONEER PHARMA HOLDING,1345,HKD
1346,LEVER STYLE CORPORATION,1346,HKD
1347,HUA HONG SEMICONDUCTOR LTD,1347,HKD
1348,QUALI-SMART HOLDINGS LTD,1348,HKD
1349,SHANGHAI FUDAN-ZHANGJIANG-H,1349,HKD
135,KUNLUN ENERGY CO LTD,135,HKD
1353,FUJIAN NUOQI CO LTD-H,1353,HKD
1355,LEGEND STRATEGY INTERNATIONA,1355,HKD
1357,MEITU INC,1357,HKD
1358,PW MEDTECH GROUP LTD,1358,HKD
1359,CHINA CINDA ASSET MANAGEME-H,1359,HKD
136,HENGTEN NETWORKS GROUP LTD,136,HKD
1360,NOVA GROUP HOLDINGS LTD,1360,HKD
1361,361 DEGREES INTERNATIONAL,1361,HKD
1362,SIS MOBILE HOLDINGS LTD,1362,HKD
